"meaning","dictionary","dictionary2","stage","word","date","linkFile","linkFile2","parent","role","phase","time2","order","loadFile","condition","seed"
6,"6_8_12_7_13_0","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",6,"hupikstipveelstreep","6_16_2016_120826","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:08:26.461Z",59,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
6,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"hupikstip","6_16_2016_121230","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:12:30.256Z",77,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
7,"13_3_1_12_9_7","mopi_lapschaakbord_hukan_lakana_napika_mopstip_hupikstip_napika_nanapi_monapi_hunapdriestreepjes_lanapster_lanapi_mopzon_lanaptri_lapistaart_",7,"napikrondjes","6_16_2016_115041","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:50:41.798Z",16,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
7,"1_13_6_11_10_7","mopi_lapschaakbord_hukan_lakana_napika_mopstip_hupikstip_napikrondjes_nanapi_monapi_hunapdriestreepjes_lanapster_lanapi_mopzon_lanaptri_lapistaart_",7,"napikrondjes","6_16_2016_115053","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:50:53.597Z",17,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
7,"7_12_2_8_0_9","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",7,"napikrondjes","6_16_2016_120739","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:07:39.393Z",57,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
7,"1_7_10_14_3_9","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",7,"napikrondjes","6_16_2016_120953","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:09:53.830Z",64,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
7,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"napikrondjes","6_16_2016_121312","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:13:12.793Z",84,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
8,"8_4_7_10_3_11","mopi_lapi_hukana_lakana_napika_mopstip_hupika_napika_nanapi_monapi_hunapdriestreepjes_lanapi_lanapi_mopi_lanapi_lapi_",4,"nanap","6_16_2016_114414","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:44:14.704Z",7,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
8,"4_7_13_15_12_8","mopi_lapschaakbord_hukan_lakana_napikvoetjes_mopstip_hupikstip_napikrondjes_nanapi_monapi_hunapdriestreep_lanapster_lanapi_mopzon_lanaptri_lapistaart_",8,"nanapnekkussen","6_16_2016_115335","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:53:35.801Z",22,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
8,"13_11_3_8_4_12","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",8,"nanapinek","6_16_2016_120305","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:03:05.810Z",44,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
8,"11_8_7_4_14_15","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",8,"nanapnek","6_16_2016_121058","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:10:58.910Z",67,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
8,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"nanapinek","6_16_2016_121143","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:11:43.723Z",70,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
9,"7_10_5_9_15_2","mopi_lapi_hukana_lakana_napika_mopstip_hupikstip_napika_nanapi_monapi_hunapdriestreepjes_lanapster_lanapi_mopzon_lanapi_lapi_",5,"mopzon","6_16_2016_114649","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:46:49.826Z",10,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
9,"12_9_5_15_13_8","mopitheedoek_lapschaakbord_hukan_lakanastaart_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapi_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapistaart_mopidriehoekjes_lanaptri_lapistaart_",9,"monapspinweb","6_16_2016_115742","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:57:42.188Z",31,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
9,"0_15_7_9_13_6","mopitheedoek_lapschaakbord_hukanstaart_lakanastaart_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapi_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",9,"monapspinweb","6_16_2016_120047","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:00:47.828Z",38,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
9,"0_15_11_1_9_4","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",9,"spinweb","6_16_2016_120611","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:06:11.306Z",53,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
9,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"monapspinweb","6_16_2016_121151","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:11:51.758Z",71,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
10,"13_10_5_14_9_7","mopi_lapi_hukana_lakana_napika_mopstip_hupika_napika_nanapi_monapi_hunapi_lanapi_lanapi_mopi_lanapi_lapi_",10,"hunapdriestreepjes","6_16_2016_114335","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:43:35.824Z",6,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
10,"2_8_10_9_12_13","mopi_lapschaakbord_hukan_lakana_napikvoetjes_mopstip_hupikstip_napikrondjes_nanapi_monapi_hunapdriestreep_lanapster_lanapi_mopzon_lanaptri_lapistaart_",10,"hunapdriestreep","6_16_2016_115147","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:51:47.260Z",19,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
10,"10_12_6_7_8_3","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",10,"hunapdriestreep","6_16_2016_120247","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:02:47.139Z",43,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
10,"3_12_8_13_15_10","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",10,"hunapdriestreep","6_16_2016_120457","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:04:57.802Z",50,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
10,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"hunapdriestreep","6_16_2016_121308","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:13:08.235Z",83,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
11,"4_10_9_11_8_13","mopi_lapi_hukana_lakana_napika_mopstip_hupika_napika_nanapi_monapi_hunapdriestreepjes_lanapi_lanapi_mopi_lanapi_lapi_",11,"lanapster","6_16_2016_114513","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:45:13.823Z",8,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
11,"13_12_11_6_5_3","mopi_lapschaakbord_hukan_lakanastaart_napikvoetjes_mopstip_hupikstip_napikrondjes_nanapi_monapi_hunapdriestreep_lanapvuurtoren_lanapi_mopidriehoekjes_lanaptri_lapistaart_",11,"lanapvuurtoren","6_16_2016_115544","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:55:44.240Z",27,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
11,"11_15_7_1_6_8","mopitheedoek_lapschaakbord_hukanstaart_lakanastaart_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapi_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",11,"lanapvuurtoren","6_16_2016_120030","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:00:30.650Z",37,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
11,"1_13_9_11_2_14","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",11,"lanapvuurtoren","6_16_2016_120347","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:03:47.821Z",46,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
11,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"lanapvuurtoren","6_16_2016_121255","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:12:55.942Z",81,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
12,"4_11_6_12_7_10","mopi_lapschaakbord_hukan_lakanastaart_napikvoetjes_mopstip_hupikstip_napikrondjes_nanapi_monapi_hunapdriestreep_lanapvuurtoren_lanapi_mopidriehoekjes_lanaptri_lapistaart_",12,"lanapistaart","6_16_2016_115609","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:56:09.796Z",28,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
12,"3_11_10_9_12_2","mopitheedoek_lapschaakbord_hukan_lakanastaart_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapi_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapistaart_mopidriehoekjes_lanaptri_lapistaart_",12,"lanapnek","6_16_2016_115840","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:58:40.431Z",33,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
12,"6_13_5_12_3_15","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",12,"lanapdubbelstaart","6_16_2016_120402","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:04:02.337Z",47,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
12,"12_3_14_10_13_1","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",12,"lanapnekdubbelstaart","6_16_2016_120805","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:08:05.814Z",58,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
12,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"lanapnek","6_16_2016_121203","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:12:03.071Z",73,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
13,"0_13_7_6_5_12","mopi_lapschaakbord_hukan_lakana_napikvoetjes_mopstip_hupikstip_napikrondjes_nanapi_monapi_hunapdriestreep_lanapster_lanapi_mopidriehoekjes_lanaptri_lapistaart_",13,"mopidriehoekjes","6_16_2016_115411","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:54:11.119Z",23,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
13,"6_15_14_13_1_0","mopi_lapschaakbord_hukan_lakanastaart_napikvoetjes_mopstip_hupikstip_napikrondjes_nanapi_monapi_hunapdriestreep_lanapster_lanapi_mopidriehoekjes_lanaptri_lapistaart_",13,"mopidriehoekjes","6_16_2016_115511","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:55:11.803Z",26,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
13,"12_7_14_11_2_13","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",13,"mopidriehoekjes","6_16_2016_120646","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:06:46.019Z",55,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
13,"5_9_7_13_14_12","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",13,"mopidriehoekjes","6_16_2016_121117","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:11:17.804Z",68,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
13,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"mopidriehoekjes","6_16_2016_121158","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:11:58.423Z",72,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
14,"14_1_4_8_13_3","mopi_lapi_hukana_lakana_napika_mopstip_hupikstip_napika_nanapi_monapi_hunapdriestreepjes_lanapster_lanapi_mopzon_lanapi_lapistaart_",14,"lanapdrie","6_16_2016_114821","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:48:21.819Z",12,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
14,"5_12_4_14_7_3","mopi_lapschaakbord_hukan_lakana_napika_mopstip_hupikstip_napika_nanapi_monapi_hunapdriestreepjes_lanapster_lanapi_mopzon_lanapdrie_lapistaart_",14,"lanaptri","6_16_2016_115006","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:50:06.920Z",15,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
14,"15_14_8_0_11_7","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",14,"lanapstaart","6_16_2016_120534","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:05:34.963Z",51,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
14,"8_5_0_10_14_3","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",14,"lanaptri","6_16_2016_120709","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:07:09.810Z",56,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
14,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"lanaptri","6_16_2016_121138","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:11:38.540Z",69,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
15,"8_1_10_9_4_15","mopi_lapi_hukana_lakana_napika_mopstip_hupikstip_napika_nanapi_monapi_hunapdriestreepjes_lanapster_lanapi_mopzon_lanapi_lapistaart_",15,"lapistaart","6_16_2016_114736","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:47:36.086Z",11,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
15,"5_1_2_14_15_10","mopitheedoek_lapschaakbord_hukan_lakanastaart_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapi_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapistaart_mopidriehoekjes_lanaptri_lapistaart_",14,"lapistaart","6_16_2016_115757","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T09:57:57.819Z",32,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
15,"9_14_15_0_11_7","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",15,"lapistaart","6_16_2016_120439","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:04:39.305Z",49,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
15,"2_0_15_1_12_4","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",15,"lapistaart","6_16_2016_120631","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:06:31.808Z",54,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
15,"","mopitheedoek_laptheedoek_hukanstaart_lakantheedoek_napikvoetjes_mopistip_hupikstip_napikrondjes_nanapinek_monapspinweb_hunapdriestreep_lanapvuurtoren_lanapnek_mopidriehoekjes_lanaptri_lapistaart_",-1,"lapistaart","6_16_2016_121213","PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4","Start_4.lang","Part1","PH2","2016-06-16T10:12:13.839Z",74,"../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4","Expressivity","Start_4"
0,NA,"broccoli_paprika_aardbei_appel_____________",-1,"luniptheedoek","8_16_2016_130451","PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4.lang","Part1","PH3","2016-08-16T11:04:51.495Z",1,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","Learnability","Start_4"
1,NA,"broccoli_paprika_aardbei_appel_____________",-1,"laktheedoek","8_16_2016_130623","PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH2_6_16_114047_CH1_parent-Start_4.lang","Part1","PH3","2016-08-16T11:06:23.950Z",9,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","Learnability","Start_4"
