"file","phase","seed","condition","path","Expressivity","Systematicity","Learnability","Learnability.sd","mean.word.length","distinctiveness"
"PH2_6_28_122845_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_28_122845_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4",0.75,-0.00126218822371573,NA,NA,5.9375,0.505555555555556
"PH2_6_7_113002_CH3_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_7_113002_CH3_parent-PH1_3_24_094856_CH4_parent-Start_4",0.5625,0.309061138422707,NA,NA,5,0.651944444444444
"PH2_6_9_095038_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_9_095038_CH1_parent-Start_4",1,0.340583377623086,0.434814664502165,0.171247633030012,9.125,0.726594215969216
"PH2_8_9_105752_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_8_9_105752_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4",0.4375,0.309935489598049,NA,NA,4.6875,0.643333333333333
"PH2_8_9_130358_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_8_9_130358_CH1_parent-Start_4",1,0.10731447514792,0.430369543650794,0.237366873009876,7.3125,0.694236111111111
"PH3_8_11_105735_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_105735_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4",1,0.33454351709985,NA,NA,11.5,0.75812458783047
"PH3_8_11_111725_CH2_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_111725_CH2_parent-PH2_6_16_114047_CH1_parent-Start_4",0.9375,0.0868579307112611,NA,NA,10.75,0.737125193706076
"PH3_8_11_120042_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_120042_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4",0.9375,0.16034639957929,NA,NA,9.75,0.767351791726792
"PH3_8_11_140112_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_140112_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4",0.875,0.346558097855512,NA,NA,10.4375,0.69558229352347
"PH3_8_11_140215_CH2_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_140215_CH2_parent-PH1_6_14_114615_CH1_parent-Start_4",0.875,0.271437210504934,NA,NA,5.4375,0.662222222222222
"PH3_8_11_150709_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_150709_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4",0.875,-0.0136472813542785,NA,NA,6.4375,0.759077380952381
"PH3_8_11_150806_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_11_150806_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4",1,0.319837816260777,NA,NA,22.25,0.650882661162407
"PH3_8_16_095835_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_16_095835_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4",0.875,-0.0485667889605907,NA,NA,6.5,0.584275793650794
